R2_lin,R2_orth,R2_orth_noscale,proc_scale,gap,emb_mean_norm,emb_cov_err,cond_m,cond_La,theta_max_deg,cos_mean,norm_ratio,excited_cos,rho_hat,rho_mod,D_frob,D_struct,D_rel,leak,pred_bias_norm,analytic_whiten_cond,condition,seed,converged,wall_s,L_pred_final,L_sigreg_final,quick,n,m,rho,K,D,nonlinearity_strength,lam,action_scale,action_rank,noise_mode,action_conditioned,steps,world_seed
0.9669509320836966,0.9662719243560585,0.9662641036516235,1.0028530577273231,0.0006790077276381812,0.08018875273227322,0.09287867377577051,1.0137767305334517,1.014028099740031,1.0034934810279235,0.9997067049338484,0.9871115059312624,,0.8940995484590535,0.8941016827498444,0.022309186744393278,0.014804633940079266,0.008763876238731956,0.0,0.0021765544079244137,1.2247449159622192,base,0,True,41.8,1.3795844743939787,1.0387250185012817,False,8,2,0.9,8,64,1.0,0.5,1.0,0,balanced,True,4000,1234
0.9643211797142678,0.9636615848964883,0.9636601778301757,1.00120981818775,0.0006595948177794408,0.07061059354086022,0.0951059568586928,1.015795423720481,1.0162282400965084,0.9427368175698361,0.9997155689021944,0.9861472270453883,,0.893509484827518,0.8935118188912314,0.024219910670413552,0.015798410529197306,0.00951447948598991,0.0,0.0022805980406701565,1.2247449159622192,base,1,True,40.23,1.3862697188977444,1.063876986503601,False,8,2,0.9,8,64,1.0,0.5,1.0,0,balanced,True,4000,1234
0.8462270364657112,0.8444816925611913,0.8384276558218102,0.9219397485069711,0.0017453439045198582,0.07314690011293652,0.38213613173843963,1.0294760572452804,1.0569783396847414,1.4682031677569374,0.9862690888663244,1.0543334409289413,,0.5673890216276055,0.9994648451479236,3.0404989308717827,2.891296118553359,1.1944207845610473,0.0,0.0025483649224042892,1.2247449159622192,base,2,True,41.71,1.390465727461004,4.171441555023193,False,8,2,0.9,8,64,1.0,0.5,1.0,0,balanced,True,4000,1234
0.96780617837604,0.9671517671618027,0.9671411534294522,1.0033237461097047,0.0006544112142372605,0.07784360845140081,0.09290877059333674,1.0152157466265144,1.0154080490703234,1.1462897793591678,0.9996725175409323,0.9876784032494648,,0.8942077010869977,0.8942103752865126,0.022194894721095454,0.014973561303175873,0.008718978091671166,0.0,0.002191666280850768,1.2247449159622192,base,3,True,39.32,1.3779821621853383,1.4187653064727783,False,8,2,0.9,8,64,1.0,0.5,1.0,0,balanced,True,4000,1234
0.9676511571825365,0.9669736263651771,0.9669374144393015,1.0061572153406837,0.0006775308173593286,0.07545471314191493,0.09575365303169081,1.0132958962017902,1.013424798387829,1.1475795151579666,0.9996473807389903,0.9872039518178262,,0.8944202959537506,0.8944232870873197,0.02154358313541915,0.014664964928797262,0.008463118736728345,0.0,0.002366446889936924,1.2247449159622192,base,4,True,40.33,1.3777450186808249,1.01698637008667,False,8,2,0.9,8,64,1.0,0.5,1.0,0,balanced,True,4000,1234
0.9977109856416032,0.9972105089527,0.9968985061012022,1.0180067998458742,0.0005004766889031842,0.08188575878483557,0.09008824969045132,1.0089265158845637,1.0090110781990318,1.1315062968748961,0.9997045511245632,1.0028513139719681,,0.9007317423820498,0.9007359703934241,0.013439678191439425,0.01327935896720737,0.00527960421451765,0.0,0.0022865417413413525,1.2247449159622192,nonlin_s=0.00,0,True,41.01,1.2851534037940944,1.0274159908294678,False,8,2,0.9,8,64,0.0,0.5,1.0,0,balanced,True,4000,1234
0.9977834542160136,0.9972181352922692,0.9969018339751533,1.0181325863332245,0.0005653189237443401,0.07446866043927879,0.09181040205440455,1.0124978966623364,1.0127251855564487,1.1384586344731602,0.999718916413868,1.0061020496744373,,0.9007050395011899,0.9007090525956916,0.01348864572497438,0.0133404242026993,0.005298840478417954,0.0,0.0023333062417805195,1.2247449159622192,nonlin_s=0.00,1,True,41.04,1.2854505894115658,1.175693392753601,False,8,2,0.9,8,64,0.0,0.5,1.0,0,balanced,True,4000,1234
0.8746457746909978,0.8728446192965603,0.8687749618015099,0.9360818377826984,0.0018011553944374814,0.07711383061660256,0.38086670473951983,1.0169578043335217,1.018618052433374,0.6329243344625258,0.999043431393831,1.0920388288115561,,0.5618728836998341,1.0146461462910519,3.131382608751501,2.9817641536801043,1.23012326507656,0.0,0.0025322423316538334,1.2247449159622192,nonlin_s=0.00,2,True,41.08,1.3032085700925773,4.373447895050049,False,8,2,0.9,8,64,0.0,0.5,1.0,0,balanced,True,4000,1234
0.9068613449361091,0.8745501098985909,0.8712364673462292,0.9420146683705878,0.032311235037518204,0.07972596374522903,0.3774206604955802,1.0147282142033085,1.0150833826058356,1.3966502977149886,0.999346596069139,1.0946063365610357,,0.5839400477707385,0.9933899055984803,2.5930419737144166,2.43407385471753,1.018643090841563,0.0,0.0025498538743704557,1.2247449159622192,nonlin_s=0.00,3,True,42.58,1.2985005014171633,4.274165153503418,False,8,2,0.9,8,64,0.0,0.5,1.0,0,balanced,True,4000,1234
0.9977757658667694,0.9971940358678997,0.9968320867781487,1.0194217246523385,0.00058172999886974,0.07762969269981954,0.0929689358667156,1.0126181093708964,1.0128662315270542,1.1147929374678347,0.9997049160803944,1.0038789237213464,,0.900755420327187,0.9007599470900216,0.01371831506240792,0.013550899940065619,0.0053890631150456635,0.0,0.0024709964636713266,1.2247449159622192,nonlin_s=0.00,4,True,43.83,1.2874795436235495,0.9387491941452026,False,8,2,0.9,8,64,0.0,0.5,1.0,0,balanced,True,4000,1234
