R2_lin,R2_orth,R2_orth_noscale,proc_scale,gap,emb_mean_norm,emb_cov_err,cond_m,cond_La,theta_max_deg,cos_mean,norm_ratio,excited_cos,rho_hat,rho_mod,D_frob,D_struct,D_rel,leak,pred_bias_norm,analytic_whiten_cond,condition,seed,converged,wall_s,L_pred_final,L_sigreg_final,quick,n,m,rho,K,D,nonlinearity_strength,lam,action_scale,action_rank,noise_mode,action_conditioned,steps,world_seed
0.9684621857362716,0.9679003737756822,0.9678917068581773,1.0030013630099635,0.0005618119605894645,0.16215375756198935,0.11599601501253773,1.018040416199899,1.0224374325733216,1.0738171715286653,0.9997518270483681,0.9860223348450092,,0.8939825594425206,0.8939861753511187,0.024053249387413957,0.016996531387043174,0.00944900875078421,0.0,0.0006940250750631094,1.2247450351715088,mw2024|base,0,True,46.35,1.4060123387021788,1.2208635807037354,False,8,2,0.9,8,64,1.0,0.5,1.0,0,balanced,True,4000,2024
0.9675918196029549,0.9669726578837672,0.966969128260116,1.0019142014277804,0.0006191617191877441,0.1562345585231624,0.11733718640475672,1.014613710621248,1.0179395791355728,0.95532715165574,0.9997817328554399,0.9840584665415764,,0.8939257785677912,0.8939281032556747,0.023771231863267715,0.016428698555795516,0.009338221804263516,0.0,0.0009044426260516047,1.2247450351715088,mw2024|base,1,True,39.87,1.4098016219236444,1.1773194074630737,False,8,2,0.9,8,64,1.0,0.5,1.0,0,balanced,True,4000,2024
0.844726320755242,0.8435390664416097,0.8382578854413766,0.9266768304004558,0.0011872543136323133,0.16591347757054808,0.3888584026760662,1.0253051030015927,1.043609764084706,1.0613943904178473,0.9917259743244415,1.0660341267012574,,0.5528926923871041,1.0137753896848833,3.134116611678072,2.976376836291106,1.2311972828594278,0.0,0.0012379951076582074,1.2247450351715088,mw2024|base,2,True,41.33,1.4249771204606534,4.23197078704834,False,8,2,0.9,8,64,1.0,0.5,1.0,0,balanced,True,4000,2024
0.9188836153824993,0.9181146472486663,0.9178019447106487,0.9818792844731526,0.0007689681338329812,0.15896826078952714,0.14254146175489324,1.0196964202756942,1.0277543769609365,0.9886557810238935,0.999570460492507,1.0008974502225014,,0.7977388445287946,0.7977409316878576,0.755550887209383,0.6979959826649703,0.296808419931815,0.0,0.0008304442162625492,1.2247450351715088,mw2024|base,3,False,43.33,1.7924232825788549,1.27219557762146,False,8,2,0.9,8,64,1.0,0.5,1.0,0,balanced,True,4000,2024
0.9698110804597715,0.9692590675555599,0.9692301728794656,1.0054899286966013,0.0005520129042115851,0.16352516290665353,0.11287715946482046,1.0163009759736559,1.0209722783402817,0.6382778559726371,0.9998359509217083,0.986213967883906,,0.8942722678184514,0.8942755255951806,0.02334307400767157,0.016806063684850214,0.009170025513646669,0.0,0.0007929556886665523,1.2247450351715088,mw2024|base,4,True,43.0,1.4024377908613508,1.0820754766464233,False,8,2,0.9,8,64,1.0,0.5,1.0,0,balanced,True,4000,2024
0.9623504648031939,0.9619707157371893,0.9619663563871631,1.0021333172544926,0.0003797490660045755,0.18920805402648577,0.10262748659846495,,,,,,,0.8930122405290604,0.8930155508347524,0.026839611909896203,0.01815859322976838,0.010543595325501571,0.0,0.0007367291254922748,1.0,mw2024|symmetric,0,True,39.26,1.5504034805646199,1.0555553436279297,False,8,2,0.9,8,64,1.0,0.5,1.0,0,balanced,False,4000,2024
0.9647727800987688,0.9643711447656387,0.9643685948116767,1.0016287365487475,0.00040163533313009037,0.1850411810562122,0.10222102886327049,,,,,,,0.8936749398708349,0.8936782373422618,0.024152007172250228,0.01622554668872497,0.009487804472646815,0.0,0.0009175623999908566,1.0,mw2024|symmetric,1,True,39.97,1.5466985103029882,1.2667131423950195,False,8,2,0.9,8,64,1.0,0.5,1.0,0,balanced,False,4000,2024
0.8465847392806904,0.8434838426551665,0.8385844307957445,0.9291834058771771,0.00310089662552393,0.19277327464995894,0.37955493779466376,,,,,,,0.5535455672070382,1.0123928224351162,3.119492336231122,2.96158522480606,1.2254523248936064,0.0,0.0011522561544552445,1.0,mw2024|symmetric,2,True,39.0,1.58292483275477,4.254088878631592,False,8,2,0.9,8,64,1.0,0.5,1.0,0,balanced,False,4000,2024
0.916874793742098,0.9161982709758495,0.9159465426665645,0.9836945953617996,0.0006765227662485218,0.18731222244076226,0.13332997871070287,,,,,,,0.8042036537081004,0.804204706494495,0.7029687653405645,0.6486521142657421,0.27615221163035997,0.0,0.0009984784992411733,1.0,mw2024|symmetric,3,False,38.95,1.8943746602737115,1.2480360269546509,False,8,2,0.9,8,64,1.0,0.5,1.0,0,balanced,False,4000,2024
0.96737802412221,0.9669969607439153,0.9669814749056858,1.0040178734028566,0.00038106337829468817,0.19194297181475276,0.09941314390283078,,,,,,,0.8940739929676057,0.8940777138367026,0.023533708099368403,0.01651953213993612,0.009244913657515652,0.0,0.0008399661746807396,1.0,mw2024|symmetric,4,True,40.15,1.53724292956041,0.9777222275733948,False,8,2,0.9,8,64,1.0,0.5,1.0,0,balanced,False,4000,2024
0.9317725579334826,0.9304777960337944,0.9303060730603905,0.9865970314890466,0.001294761899688135,0.19507868067437692,0.09732626849797343,1594758.076911156,5525223.210340535,2.716321825020489,0.653937815421551,0.8582499674983823,0.9983513467540813,0.8850379958748826,0.8850385179825238,0.05920800053401134,0.04140887329685834,0.023259099265608967,0.0,0.002194902626797557,1.2095224857330322,mw2024|excite_rank1,0,True,40.47,1.5405237663927542,0.9369980692863464,False,8,2,0.9,8,64,1.0,0.5,1.0,1,balanced,True,4000,2024
